blind_id,type,primary,confidence_1_5,notes
item-01,L,,,
item-02,S,,,
item-03,S,,,
item-04,S,,,
item-05,S,,,
item-06,L,,,
item-07,S,,,
item-08,S,,,
item-09,S,,,
item-10,S,,,
item-11,S,,,
item-12,S,,,
item-13,S,,,
item-14,S,,,
item-15,S,,,
item-16,S,,,
item-17,L,,,
item-18,S,,,
item-19,S,,,
item-20,S,,,
item-21,S,,,
item-22,S,,,
item-23,S,,,
item-24,S,,,
item-25,S,,,
item-26,S,,,
item-27,S,,,
item-28,S,,,
item-29,S,,,
item-30,S,,,
item-31,S,,,
item-32,S,,,
item-33,S,,,
item-34,S,,,
item-35,L,,,
item-36,S,,,
item-37,S,,,
item-38,S,,,
item-39,S,,,
item-40,S,,,
item-41,S,,,
item-42,S,,,
item-43,S,,,
item-44,S,,,
item-45,L,,,
item-46,L,,,
item-47,S,,,
item-48,S,,,
item-49,S,,,
item-50,S,,,
item-51,S,,,
item-52,S,,,
item-53,S,,,
item-54,S,,,
item-55,S,,,
item-56,S,,,
item-57,S,,,
item-58,L,,,
item-59,S,,,
item-60,S,,,
item-61,S,,,
item-62,S,,,
item-63,S,,,
item-64,S,,,
item-65,S,,,
item-66,S,,,
item-67,S,,,
item-68,S,,,
item-69,S,,,
item-70,S,,,
item-71,S,,,
item-72,S,,,
item-73,S,,,
