blind_id,item_id,type,case,truth_label_agent,gate_verdict_v23,gate_verdict_v24,render_path
item-01,L_C,L,C,applied,PASS,PASS,evaluation/results/p6_lowcontrast/raw_C_l2.png
item-02,S_io_gray_I_L2,S,io_gray_I_L2,present,REFUSE,REFUSE,evaluation/results/phase3_sleeve_batch/io_gray_I_L2.png
item-03,S_p7_p7d_med_stripe_tee,S,p7d_med_stripe_tee,present,"n/a (fresh, pre-v2.4)",PASS,evaluation/results/p7_adversarial/p7d_med_stripe_tee.png
item-04,S_p5_l_gray_L1,S,p5_l_gray_L1,present,PASS,PASS,evaluation/results/p4_fresh_batch/p5_l_gray_L1.png
item-05,S_cal_05_L1,S,cal_05_L1,present,PASS,PASS,evaluation/results/calibration_v22/cal_05_L1.png
item-06,L_H,L,H,applied,PASS,PASS,evaluation/results/p6_lowcontrast/raw_H_l2.png
item-07,S_p0c_l_black_L1,S,p0c_l_black_L1,present,PASS,PASS,evaluation/results/p0c_sleeve_calibration/p0c_l_black_L1.png
item-08,S_p0c_synth_full_lgray_L1,S,p0c_synth_full_lgray_L1,dropped_synth,REFUSE,REFUSE,evaluation/results/p4_fresh_batch/p0c_synth_full_lgray_L1.png
item-09,S_m4_diff_person_L2,S,m4_diff_person_L2,present,REFUSE,REFUSE,evaluation/results/at15_reconciliation/m4_diff_person_L2.png
item-10,S_adv_onearm_full,S,adv_onearm_full,dropped,PASS,REFUSE,evaluation/results/p6_sleeve_adversarial/adv_onearm_full.png
item-11,S_p0c_k_white_L1,S,p0c_k_white_L1,present,REFUSE,REFUSE,evaluation/results/p0c_sleeve_calibration/p0c_k_white_L1.png
item-12,S_p5_m_io_L1,S,p5_m_io_L1,present,REFUSE,REFUSE,evaluation/results/p4_fresh_batch/p5_m_io_L1.png
item-13,S_p0c_synth_full_jtunic_L1,S,p0c_synth_full_jtunic_L1,dropped_synth,REFUSE,REFUSE,evaluation/results/p4_fresh_batch/p0c_synth_full_jtunic_L1.png
item-14,S_adv_crop,S,adv_crop,dropped,REFUSE,REFUSE,evaluation/results/p6_sleeve_adversarial/adv_crop.png
